,UserID,CreatedAt,CollectedAt,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
5995,26735027,3/26/2009 7:11,11/16/2009 12:17,443,249,2627,15,86,0
7449,32474453,4/17/2009 11:47,11/16/2009 12:17,31,33,68,12,0,0
16406,77917765,9/27/2009 22:50,11/16/2009 12:18,119,192,28,14,68,0
4930,23304409,3/8/2009 7:39,11/16/2009 12:18,51,42,227,8,63,0
10783,47535233,6/15/2009 22:50,11/16/2009 12:18,70,37,179,9,0,0
14343,66274209,8/16/2009 23:16,11/16/2009 12:18,1877,343,4,10,33,0
545,8208492,8/15/2007 13:00,11/16/2009 12:19,225,179,6315,7,0,0
7548,32997260,4/18/2009 15:13,11/16/2009 12:19,58,106,803,7,0,0
2550,17043732,10/29/2008 10:39,11/16/2009 12:20,31,144,1484,13,0,0
1386,14745247,5/12/2008 10:37,11/16/2009 12:21,35,54,39,13,0,0
7458,32505912,4/17/2009 13:14,11/16/2009 12:22,51,60,887,12,0,0
18075,87088052,11/2/2009 20:18,11/16/2009 12:23,48,33,112,9,99,0
7575,33139551,4/19/2009 0:25,11/16/2009 12:24,300,336,4653,9,25,0
17057,81758509,10/11/2009 23:06,11/16/2009 12:27,99,70,264,9,0,0
12244,55150223,7/9/2009 0:12,11/16/2009 12:27,195,52,320,9,42,0
1660,15268295,6/28/2008 23:08,11/16/2009 12:29,167,117,2105,11,89,0
9559,41884553,5/22/2009 14:40,11/16/2009 12:30,386,415,348,5,107,0
4586,22182849,2/27/2009 14:04,11/16/2009 12:32,566,481,324,15,156,0
7870,34511775,4/22/2009 22:11,11/16/2009 12:32,55,34,631,10,53,0
5803,26041802,3/23/2009 12:07,11/16/2009 12:33,148,172,3031,5,117,0
18366,88716126,11/9/2009 11:41,11/16/2009 12:34,13,6,69,12,43,0
3072,18263174,12/20/2008 1:15,11/16/2009 12:35,173,304,7248,6,99,0
18252,88147533,11/7/2009 2:41,11/16/2009 12:36,1,13,156,14,146,0
10607,46743291,6/12/2009 15:40,11/16/2009 12:37,67,174,2638,10,19,0
12238,55127472,7/8/2009 22:24,11/16/2009 12:38,66,133,2101,13,0,0
8785,38703864,5/8/2009 12:16,11/16/2009 12:39,52,35,95,15,0,0
3335,18809012,1/9/2009 12:13,11/16/2009 12:40,669,562,1733,11,95,0
18299,88378770,11/8/2009 2:22,11/16/2009 12:42,36,1,7,9,0,0
18369,88727046,11/9/2009 12:32,11/16/2009 12:42,36,30,67,12,0,0
4654,22408231,3/1/2009 15:20,11/16/2009 12:43,307,198,541,12,160,0
6512,28652289,4/3/2009 16:03,11/16/2009 12:44,1006,1143,5247,11,15,0
14246,65799450,8/14/2009 21:15,11/16/2009 12:45,64,37,442,9,0,0
15013,69880669,8/29/2009 9:41,11/16/2009 12:48,0,63,1490,8,44,0
9349,40978340,5/18/2009 16:52,11/16/2009 12:50,773,2990,38009,10,105,0
9664,42336551,5/24/2009 21:55,11/16/2009 12:52,370,519,1367,11,11,0
14414,66740999,8/18/2009 12:29,11/16/2009 12:52,24,219,477,14,90,0
2063,16035350,8/28/2008 19:52,11/16/2009 12:53,2225,2047,5945,10,128,0
13808,63511383,8/6/2009 14:11,11/16/2009 12:53,65,450,12724,10,20,0
16587,78987568,10/1/2009 14:46,11/16/2009 12:54,13,8,61,9,37,0
3928,20247993,2/6/2009 10:14,11/16/2009 12:57,316,238,2210,11,16,0
15495,72732530,9/8/2009 20:51,11/16/2009 12:58,0,3,50,11,0,0
2775,17591448,11/24/2008 7:12,11/16/2009 13:05,116,133,80,13,45,0
2741,17519194,11/20/2008 13:22,11/16/2009 13:06,173,838,2258,11,92,0
16550,78760474,9/30/2009 20:06,11/16/2009 13:07,564,335,169,9,0,0
12083,54302580,7/6/2009 14:18,11/16/2009 13:08,18,101,5654,9,29,0
12545,56791872,7/14/2009 14:37,11/16/2009 13:08,630,365,1238,11,33,0
17718,85067266,10/25/2009 7:08,11/16/2009 13:08,1,2,45,12,21,0
12537,56739393,7/14/2009 11:24,11/16/2009 13:08,18,6,34,12,38,0
2473,16894956,10/21/2008 17:05,11/16/2009 13:09,115,205,4886,11,43,0
9778,42878337,5/27/2009 8:14,11/16/2009 13:11,78,65,227,12,0,0
6444,28382704,4/2/2009 12:47,11/16/2009 13:14,1623,1089,978,8,158,0
10684,47101175,6/14/2009 9:34,11/16/2009 13:14,63,50,1105,13,0,0
7171,30989140,4/13/2009 18:18,11/16/2009 13:16,236,168,2799,10,0,0
5295,24549298,3/15/2009 11:56,11/16/2009 13:17,428,664,7854,8,64,0
1522,15023066,6/5/2008 15:37,11/16/2009 13:18,1509,1915,678,11,40,0
983,13952842,2/25/2008 12:15,11/16/2009 13:20,81,36,57,14,0,0
753,10682592,11/28/2007 12:49,11/16/2009 13:23,282,522,8057,11,36,0
8079,35401245,4/25/2009 23:21,11/16/2009 13:23,518,222,179,15,75,0
15173,70813126,9/1/2009 18:01,11/16/2009 13:23,555,690,693,11,54,0
2595,17134161,11/3/2008 11:00,11/16/2009 13:25,326,93,978,14,0,0
14531,67308482,8/20/2009 8:05,11/16/2009 13:25,40,45,69,11,0,0
13975,64364335,8/10/2009 4:00,11/16/2009 13:26,226,84,108,8,124,0
11138,49433064,6/21/2009 16:24,11/16/2009 13:26,30,26,225,8,0,0
18655,89948638,11/14/2009 8:43,11/16/2009 13:28,236,43,79,14,0,0
4436,21726539,2/23/2009 21:47,11/16/2009 13:28,47,37,2103,7,5,0
7222,31173202,4/14/2009 12:25,11/16/2009 13:29,959,928,504,15,55,0
4556,22085329,2/26/2009 18:27,11/16/2009 13:31,25,6222,325,12,65,0
12322,55549017,7/10/2009 7:37,11/16/2009 13:32,66,39,25,9,0,0
5190,24187989,3/13/2009 10:21,11/16/2009 13:34,250,382,3217,6,155,0
11581,51715316,6/28/2009 7:11,11/16/2009 13:34,57,51,1294,9,0,0
2640,17245947,11/7/2008 23:35,11/16/2009 13:35,72,209,4928,12,80,0
4687,22505230,3/2/2009 11:05,11/16/2009 13:35,188,232,5141,5,115,0
4365,21478107,2/21/2009 5:41,11/16/2009 13:36,221,202,2512,7,0,0
8645,38131628,5/6/2009 1:57,11/16/2009 13:41,0,426,4855,10,0,0
16084,76288949,9/22/2009 4:07,11/16/2009 13:41,39,44,142,10,112,0
9732,42637874,5/26/2009 9:45,11/16/2009 13:43,63,67,1645,10,17,0
1133,14297271,4/3/2008 17:19,11/16/2009 13:44,174,170,19273,10,133,0
5106,23874214,3/11/2009 21:00,11/16/2009 13:44,509,308,8063,12,5,0
15009,69849358,8/29/2009 6:44,11/16/2009 13:46,33,4,35,10,0,0
8612,37976485,5/5/2009 12:50,11/16/2009 13:46,26,41,1096,15,29,0
9363,41022924,5/18/2009 20:29,11/16/2009 13:46,198,274,5818,9,139,0
16357,77730435,9/27/2009 8:01,11/16/2009 13:47,8,6,33,13,33,0
845,12128212,1/11/2008 13:45,11/16/2009 13:49,14,31,891,10,0,0
9863,43192327,5/28/2009 15:45,11/16/2009 13:49,1750,1249,1367,12,36,0
12449,56224931,7/12/2009 18:40,11/16/2009 13:49,91,100,2272,9,0,0
1235,14456417,4/20/2008 19:07,11/16/2009 13:50,265,351,463,10,61,0
7431,32409456,4/17/2009 8:46,11/16/2009 13:50,97,129,1384,6,64,0
3702,19677108,1/28/2009 15:26,11/16/2009 13:51,174,211,1551,10,44,0
9552,41835624,5/22/2009 10:39,11/16/2009 13:52,144,253,5564,12,56,0
8073,35364534,4/25/2009 20:25,11/16/2009 13:53,105,158,5171,10,153,0
18792,90468221,11/16/2009 13:47,11/16/2009 13:54,0,0,1,11,0,0
10133,44437304,6/3/2009 14:41,11/16/2009 13:56,380,226,241,11,80,0
17367,83343646,10/18/2009 6:07,11/16/2009 13:57,38,13,35,13,0,0
18781,90422184,11/16/2009 10:03,11/16/2009 13:57,21,2,5,8,0,0
7667,33523162,4/20/2009 9:10,11/16/2009 13:57,27,22,48,12,0,0
18186,87709338,11/5/2009 9:16,11/16/2009 13:57,14,4,1,11,26,0
12597,57052576,7/15/2009 10:51,11/16/2009 13:58,237,251,4030,7,33,0
1042,14155050,3/15/2008 18:00,11/16/2009 13:59,2666,2574,5643,11,64,0
5271,24475396,3/14/2009 21:49,11/16/2009 13:59,42,41,317,12,103,0
10600,46689885,6/12/2009 11:36,11/16/2009 14:00,262,73,753,14,62,0
5921,26443583,3/25/2009 1:07,11/16/2009 14:01,2001,1776,3659,8,69,0
5370,24776235,3/16/2009 16:42,11/16/2009 14:03,507,97283,9262,14,30,0
2981,18059668,12/11/2008 14:41,11/16/2009 14:04,97,81,1819,5,140,0
1102,14245492,3/28/2008 12:42,11/16/2009 14:04,162,369,3064,12,86,0
1008,14084534,3/5/2008 13:15,11/16/2009 14:05,347,705,4624,12,78,0
5561,25341222,3/19/2009 12:17,11/16/2009 14:07,152,689,483,7,36,0
3246,18619137,1/4/2009 19:29,11/16/2009 14:07,475,525,4464,8,99,0
18599,89823011,11/13/2009 17:38,11/16/2009 14:09,309,8,13,9,48,0
12827,58295518,7/19/2009 16:14,11/16/2009 14:10,14,13,58,7,0,0
1798,15576453,7/23/2008 22:06,11/16/2009 14:10,1126,1229,1899,12,158,0
7796,34173993,4/21/2009 22:54,11/16/2009 14:10,12,21,124,8,0,0
16278,77259376,9/25/2009 12:04,11/16/2009 14:11,34,25,131,8,0,0
4261,21146135,2/17/2009 17:32,11/16/2009 14:12,52,2726,5060,10,35,0
9799,42955537,5/27/2009 14:46,11/16/2009 14:12,37,9,902,15,94,0
2391,16699481,10/11/2008 15:04,11/16/2009 14:16,460,742,7141,10,116,0
5237,24314852,3/13/2009 21:52,11/16/2009 14:16,237,257,3926,11,24,0
15510,72834189,9/9/2009 6:52,11/16/2009 14:22,856,910,5325,8,89,0
2346,16622154,10/6/2008 18:17,11/16/2009 14:23,114,229,5631,12,124,0
16632,79215607,10/2/2009 10:59,11/16/2009 14:24,24,4,95,12,0,0
13123,59881637,7/24/2009 15:36,11/16/2009 14:26,196,153,2515,14,101,0
11744,52566811,6/30/2009 18:58,11/16/2009 14:29,47,35,652,12,0,0
15222,71052479,9/2/2009 14:31,11/16/2009 14:30,23,56,1393,15,16,0
17023,81609583,10/11/2009 9:50,11/16/2009 14:31,92,101,4197,10,126,0
12580,56981059,7/15/2009 5:22,11/16/2009 14:35,65,125,637,9,25,0
126,1643931,3/20/2007 11:21,11/16/2009 14:35,121,1002,22950,15,94,0
4769,22737459,3/3/2009 23:16,11/16/2009 14:38,361,610,9503,12,103,0
5848,26176647,3/23/2009 23:21,11/16/2009 14:38,617,558,939,6,22,0
8193,35952794,4/27/2009 21:10,11/16/2009 14:39,75,64,403,7,30,0
1195,14400518,4/15/2008 15:08,11/16/2009 14:41,897,976,4161,10,23,0
12361,55771016,7/11/2009 0:56,11/16/2009 14:42,1100,1097,644,8,0,0
4246,21111886,2/17/2009 12:02,11/16/2009 14:42,80,115,172,7,106,0
4788,22803518,3/4/2009 11:28,11/16/2009 14:45,264,232,5024,6,73,0
6263,27652269,3/30/2009 10:03,11/16/2009 14:45,212,224,2773,7,52,0
10905,48193782,6/17/2009 20:22,11/16/2009 14:46,65,115,1407,9,130,0
4409,21633744,2/22/2009 23:27,11/16/2009 14:49,131,75,372,12,43,0
12049,54143461,7/6/2009 2:06,11/16/2009 14:49,2001,601,4080,11,88,0
8197,35964878,4/27/2009 21:53,11/16/2009 14:50,217,342,1900,11,76,0
14798,68716626,8/25/2009 10:09,11/16/2009 14:50,37,25,412,8,124,0
5407,24872674,3/17/2009 7:16,11/16/2009 14:51,64,44,239,12,0,0
15778,74490932,9/15/2009 11:42,11/16/2009 14:52,16,16,37,14,0,0
10087,44206777,6/2/2009 15:59,11/16/2009 14:55,175,154,948,15,42,0
4309,21301643,2/19/2009 8:22,11/16/2009 14:55,31,28,826,14,83,0
15991,75767082,9/20/2009 6:16,11/16/2009 14:58,47,65,538,12,54,0
3236,18594789,1/3/2009 21:53,11/16/2009 14:58,1930,754,1049,14,89,0
5325,24640938,3/15/2009 22:14,11/16/2009 15:02,203,133,274,11,58,0
15542,73002678,9/9/2009 20:02,11/16/2009 15:02,53,12,115,13,0,0
11865,53167990,7/2/2009 14:52,11/16/2009 15:03,259,284,2877,11,0,0
5454,25013550,3/17/2009 21:45,11/16/2009 15:06,165,171,2634,8,21,0
12239,55130619,7/8/2009 22:38,11/16/2009 15:07,124,686,3796,10,110,0
1864,15701796,8/2/2008 10:12,11/16/2009 15:09,5294,4858,4574,10,34,0
738,10449682,11/21/2007 14:01,11/16/2009 15:09,3732,5488,6189,14,160,0
3941,20298945,2/7/2009 1:59,11/16/2009 15:11,93,992,2592,14,25,0
17184,82387894,10/14/2009 10:40,11/16/2009 15:13,0,1,43,15,39,0
5660,25633456,3/20/2009 22:35,11/16/2009 15:13,234,212,4282,7,85,0
2555,17052009,10/29/2008 16:04,11/16/2009 15:14,112,483,616,12,84,0
15027,69943472,8/29/2009 14:35,11/16/2009 15:15,8,72,77,9,62,0
4510,21910126,2/25/2009 13:58,11/16/2009 15:15,180,315,8904,12,36,0
15202,70939933,9/2/2009 6:20,11/16/2009 15:16,448,138,1672,14,0,0
18512,89417850,11/12/2009 4:26,11/16/2009 15:17,164,36,11,14,0,0
5246,24330125,3/13/2009 23:41,11/16/2009 15:18,67,48,1244,6,0,0
11338,50412149,6/24/2009 14:45,11/16/2009 15:19,6,95,1054,5,83,0
9466,41484213,5/20/2009 18:58,11/16/2009 15:22,0,28,108,12,77,0
8320,36568789,4/29/2009 21:30,11/16/2009 15:22,2091,1996,1471,15,123,0
11981,53753171,7/4/2009 15:28,11/16/2009 15:24,123,52,300,13,0,0
3523,19283850,1/21/2009 5:10,11/16/2009 15:25,95,144,1643,12,23,0
10336,45400556,6/7/2009 14:09,11/16/2009 15:25,71,59,674,10,0,0
5383,24809560,3/16/2009 19:57,11/16/2009 15:26,26,53,706,13,47,0
619,9058832,9/23/2007 18:34,11/16/2009 15:29,325,271,438,9,0,0
7185,31065201,4/14/2009 0:19,11/16/2009 15:30,17,11,102,11,48,0
3596,19460250,1/24/2009 13:51,11/16/2009 15:30,113,300,5301,10,31,0
11402,50719328,6/25/2009 13:08,11/16/2009 15:33,134,40,13,10,144,0
14824,68913442,8/26/2009 1:14,11/16/2009 15:33,1820,372,237,9,20,0
18150,87542860,11/4/2009 15:52,11/16/2009 15:37,30,25,28,11,0,0
1447,14886344,5/23/2008 15:50,11/16/2009 15:44,1812,2278,1546,14,157,0
1984,15905401,8/19/2008 10:31,11/16/2009 15:45,57,213,661,9,54,0
14501,67172494,8/19/2009 19:23,11/16/2009 15:46,143,111,5489,10,54,0
12338,55647054,7/10/2009 14:48,11/16/2009 15:48,5309,4826,4903,13,148,0
6611,28960268,4/5/2009 3:14,11/16/2009 15:48,566,2128,26577,11,157,0
4585,22182282,2/27/2009 13:59,11/16/2009 15:49,402,387,431,10,135,0
13462,61527954,7/30/2009 11:20,11/16/2009 15:50,92,36,687,12,11,0
2911,17890482,12/4/2008 22:47,11/16/2009 15:50,531,828,5851,7,46,0
7841,34404783,4/22/2009 16:27,11/16/2009 15:51,590,311,2571,14,152,0
6207,27484143,3/29/2009 14:21,11/16/2009 15:51,7,133,1656,14,109,0
16411,77940852,9/28/2009 1:10,11/16/2009 15:51,11,7,115,10,152,0
9803,42987157,5/27/2009 17:51,11/16/2009 15:53,508,531,5268,10,0,0
12758,57963048,7/18/2009 10:58,11/16/2009 15:53,807,417,4711,14,27,0
3966,20357176,2/8/2009 3:18,11/16/2009 15:56,169,76,2364,11,0,0
13079,59659793,7/23/2009 21:05,11/16/2009 15:57,101,18,149,8,24,0
18586,89766485,11/13/2009 12:53,11/16/2009 16:00,21,19,8,11,0,0
17674,84862398,10/24/2009 9:38,11/16/2009 16:01,70,9,95,9,54,0
161,2899671,3/29/2007 16:58,11/16/2009 16:02,332,527,22150,12,153,0
1100,14239440,3/27/2008 17:43,11/16/2009 16:03,695,1471,9578,5,0,0
16757,80064568,10/5/2009 11:30,11/16/2009 16:03,68,25,449,15,76,0
11331,50379186,6/24/2009 12:54,11/16/2009 16:04,469,253,1506,14,82,0
2580,17106307,11/1/2008 17:26,11/16/2009 16:04,768,769,6989,10,158,0
4244,21110385,2/17/2009 11:47,11/16/2009 16:05,102,69,1811,12,62,0
7139,30888689,4/13/2009 10:46,11/16/2009 16:05,435,462,7150,10,22,0
13332,60909769,7/28/2009 8:57,11/16/2009 16:07,24,26,913,13,0,0
5806,26051216,3/23/2009 12:54,11/16/2009 16:08,355,558,6651,15,63,0
5119,23921840,3/12/2009 3:37,11/16/2009 16:11,311,272,8212,9,15,0
6342,27939508,3/31/2009 14:13,11/16/2009 16:12,2688,2474,8360,13,149,0
9885,43277155,5/29/2009 0:08,11/16/2009 16:16,11,1176,4844,12,61,0
5081,23757784,3/11/2009 7:52,11/16/2009 16:20,177,230,1170,14,160,0
16742,79998235,10/5/2009 6:23,11/16/2009 16:20,59,59,988,5,35,0
15952,75516831,9/19/2009 4:48,11/16/2009 16:22,0,8,2424,12,82,0
17438,83691323,10/19/2009 16:18,11/16/2009 16:24,11,6,15,9,0,0
2,1437,7/16/2006 12:29,11/16/2009 16:25,45,73,725,6,37,0
3356,18852563,1/10/2009 18:56,11/16/2009 16:25,1922,910,1244,10,56,0
662,9583582,10/21/2007 13:40,11/16/2009 16:26,199,692,3112,11,79,0
3577,19422638,1/23/2009 17:43,11/16/2009 16:27,46,7,25,8,0,0
16688,79606031,10/3/2009 19:49,11/16/2009 16:27,68,22,137,9,160,0
7142,30899958,4/13/2009 11:44,11/16/2009 16:28,153,167,5217,8,20,0
3438,19054556,1/15/2009 22:22,11/16/2009 16:29,265,602,32118,13,21,0
5306,24575664,3/15/2009 14:58,11/16/2009 16:29,16,20,421,8,48,0
7490,32714752,4/17/2009 20:35,11/16/2009 16:30,105,203,4914,9,4,0
8750,38607893,5/7/2009 23:43,11/16/2009 16:30,0,91,264,15,132,0
12850,58401533,7/20/2009 0:41,11/16/2009 16:33,29,16,611,10,0,0
16365,77765973,9/27/2009 11:00,11/16/2009 16:34,93,41,848,15,157,0
13678,62722149,8/3/2009 23:49,11/16/2009 16:36,37,52,444,14,0,0
3092,18293753,12/21/2008 15:55,11/16/2009 16:38,11,13,47,6,0,0
3376,18886127,1/11/2009 19:04,11/16/2009 16:39,120,411,8490,9,82,0
15965,75611270,9/19/2009 13:32,11/16/2009 16:41,3,0,9,10,0,0
3893,20128523,2/5/2009 2:41,11/16/2009 16:41,159,676,656,10,30,0
17357,83285745,10/17/2009 22:21,11/16/2009 16:43,30,34,209,5,38,0
4147,20851240,2/14/2009 9:06,11/16/2009 16:44,2540,2708,4087,11,153,0
10387,45621703,6/8/2009 12:43,11/16/2009 16:45,103,109,626,11,0,0
6237,27573581,3/29/2009 22:19,11/16/2009 16:45,115,92,1212,10,0,0
14811,68865426,8/25/2009 20:33,11/16/2009 16:47,66,65,3903,13,0,0
5905,26383725,3/24/2009 20:00,11/16/2009 16:52,125,134,4095,4,88,0
16582,78952263,10/1/2009 12:04,11/16/2009 16:52,60,59,1511,9,0,0
9340,40933964,5/18/2009 13:32,11/16/2009 16:54,147,147,1504,15,57,0
4375,21511335,2/21/2009 13:49,11/16/2009 16:56,91,53,792,10,63,0
12278,55302400,7/9/2009 12:35,11/16/2009 16:58,242,334,7526,9,137,0
10664,47008477,6/13/2009 20:51,11/16/2009 17:01,65,18,60,10,0,0
17094,81924612,10/12/2009 15:46,11/16/2009 17:01,108,112,439,8,124,0
8775,38676453,5/8/2009 9:35,11/16/2009 17:02,170,188,2714,7,0,0
4477,21820968,2/24/2009 19:20,11/16/2009 17:03,4,5,73,10,75,0
15538,72972619,9/9/2009 17:44,11/16/2009 17:07,21,24,210,12,68,0
11079,49087718,6/20/2009 14:10,11/16/2009 17:08,19,14,216,11,17,0
14793,68657709,8/25/2009 5:08,11/16/2009 17:09,68,73,2964,6,102,0
5925,26457834,3/25/2009 3:37,11/16/2009 17:10,166,96,1216,12,153,0
15224,71084969,9/2/2009 16:44,11/16/2009 17:11,192,218,1644,13,0,0
1384,14740530,5/11/2008 23:42,11/16/2009 17:13,108,86,7181,12,37,0
2307,16521652,9/29/2008 20:12,11/16/2009 17:13,96,65,4384,6,20,0
5231,24305712,3/13/2009 20:54,11/16/2009 17:16,3,4,758,6,0,0
9007,39675024,5/12/2009 22:14,11/16/2009 17:16,17,10,58,10,73,0
16767,80123421,10/5/2009 15:53,11/16/2009 17:16,146,21,82,12,0,0
2282,16468886,9/26/2008 10:13,11/16/2009 17:16,19,23,209,8,0,0
13008,59262388,7/22/2009 16:56,11/16/2009 17:18,58,64,189,11,0,0
12538,56740157,7/14/2009 11:26,11/16/2009 17:18,6,2,38,5,0,0
11507,51288007,6/26/2009 19:25,11/16/2009 17:18,308,194,4060,15,84,0
18290,88326516,11/7/2009 20:10,11/16/2009 17:20,140,49,315,14,51,0
16447,78128472,9/28/2009 16:35,11/16/2009 17:22,145,95,1944,8,157,0
17812,85686237,10/27/2009 18:00,11/16/2009 17:22,1038,289,1688,6,80,0
7383,32235503,4/16/2009 20:09,11/16/2009 17:24,189,400,7672,11,103,0
17127,82085213,10/13/2009 7:47,11/16/2009 17:24,32,17,29,7,0,0
12440,56170141,7/12/2009 14:32,11/16/2009 17:25,183,91,420,10,0,0
11025,48853494,6/19/2009 17:40,11/16/2009 17:27,290,144,504,10,29,0
18716,90155277,11/15/2009 6:51,11/16/2009 17:28,20,0,450,11,0,0
11403,50724997,6/25/2009 13:28,11/16/2009 17:29,61,41,467,7,51,0
11332,50384960,6/24/2009 13:13,11/16/2009 17:29,93,46,32,10,100,0
12630,57238526,7/15/2009 23:08,11/16/2009 17:32,86,93,1136,10,0,0
5109,23882885,3/11/2009 22:04,11/16/2009 17:33,323,445,3387,15,158,0
6823,29759386,4/8/2009 11:50,11/16/2009 17:33,106,120,1120,9,55,0
17266,82901961,10/16/2009 10:19,11/16/2009 17:34,13,7,93,9,0,0
13369,61097287,7/28/2009 22:09,11/16/2009 17:36,87,37,417,12,0,0
4094,20674601,2/12/2009 6:55,11/16/2009 17:38,34,73,1836,10,11,0
18402,88919549,11/10/2009 6:45,11/16/2009 17:41,21,1,12,11,0,0
7906,34671906,4/23/2009 12:29,11/16/2009 17:42,5,9,15,8,24,0
11533,51470149,6/27/2009 10:42,11/16/2009 17:42,1374,1518,478,9,55,0
1441,14862631,5/21/2008 18:43,11/16/2009 17:45,721,758,1873,9,0,0
2176,16279360,9/13/2008 21:50,11/16/2009 17:45,90,394,12927,6,51,0
11886,53287893,7/2/2009 22:56,11/16/2009 17:46,100,178,714,10,0,0
12491,56467171,7/13/2009 14:27,11/16/2009 17:47,297,272,3875,8,104,0
15341,71840301,9/5/2009 11:44,11/16/2009 17:47,34,58,3336,12,0,0
15884,75071254,9/17/2009 12:53,11/16/2009 17:47,48,48,1311,11,41,0
5886,26304690,3/24/2009 14:35,11/16/2009 17:49,669,561,7436,11,94,0
5893,26336618,3/24/2009 17:03,11/16/2009 17:50,26,15,251,11,12,0
13186,60138324,7/25/2009 15:11,11/16/2009 17:51,122,72,122,12,0,0
10704,47166530,6/14/2009 15:24,11/16/2009 17:51,67,281,5218,14,158,0
15652,73743629,9/12/2009 16:54,11/16/2009 17:54,18,14,1505,15,0,0
10706,47173977,6/14/2009 16:02,11/16/2009 17:54,322,126,3532,13,88,0
18196,87752958,11/5/2009 12:42,11/16/2009 17:56,34,5,37,13,0,0
12358,55764817,7/11/2009 0:15,11/16/2009 17:57,73,3108,241,13,0,0
12188,54842775,7/8/2009 3:53,11/16/2009 17:58,26,309,3059,13,121,0
18793,90472975,11/16/2009 14:11,11/16/2009 17:59,25,1,8,14,0,0
17130,82089031,10/13/2009 8:05,11/16/2009 17:59,23,11,40,8,80,0
18608,89855598,11/13/2009 20:59,11/16/2009 17:59,4,2,9,10,19,0
15457,72467781,9/7/2009 23:07,11/16/2009 18:00,796,860,680,13,111,0
159,2871341,3/29/2007 13:03,11/16/2009 18:01,76,83,2955,12,28,0
5704,25754021,3/21/2009 19:35,11/16/2009 18:03,258,158,1722,10,160,0
18746,90271487,11/15/2009 17:17,11/16/2009 18:05,25,8,5,10,0,0
7301,31538314,4/15/2009 17:10,11/16/2009 18:05,96,105,2594,14,0,0
12894,58596423,7/20/2009 16:28,11/16/2009 18:06,520,340,613,8,41,0
10740,47350082,6/15/2009 9:42,11/16/2009 18:08,8,43,2639,7,9,0
6739,29409616,4/7/2009 3:13,11/16/2009 18:09,67,12,143,12,126,0
5293,24546862,3/15/2009 11:39,11/16/2009 18:13,260,351,18111,10,43,0
10663,47008273,6/13/2009 20:50,11/16/2009 18:13,245,183,1154,9,0,0
11876,53242386,7/2/2009 19:42,11/16/2009 18:14,89,224,1373,15,32,0
18378,88815699,11/9/2009 19:14,11/16/2009 18:16,0,1,5,11,0,0
2335,16585109,10/3/2008 17:30,11/16/2009 18:17,107,157,275,15,23,0
2108,16140073,9/4/2008 22:56,11/16/2009 18:17,18,18,122,12,0,0
8187,35932147,4/27/2009 19:59,11/16/2009 18:19,176,53,620,13,0,0
11538,51476875,6/27/2009 11:09,11/16/2009 18:21,6,3,13,9,0,0
18797,90480442,11/16/2009 14:48,11/16/2009 18:22,7,1,25,11,0,0
4526,21951805,2/25/2009 19:24,11/16/2009 18:23,420,485,3928,9,28,0
5627,25538371,3/20/2009 12:21,11/16/2009 18:24,125,82,787,7,0,0
7153,30936192,4/13/2009 14:25,11/16/2009 18:29,25,38,380,12,0,0
1841,15667732,7/30/2008 18:16,11/16/2009 18:30,1544,994,2657,12,104,0
13012,59308224,7/22/2009 19:47,11/16/2009 18:32,125,109,339,9,27,0
9913,43379600,5/29/2009 13:15,11/16/2009 18:33,249,135,2448,12,160,0
9755,42807912,5/26/2009 22:45,11/16/2009 18:34,74,35,152,13,49,0
3509,19243596,1/20/2009 10:31,11/16/2009 18:35,600,235,919,12,0,0
13978,64374678,8/10/2009 5:29,11/16/2009 18:37,2,1519,1251,12,5,0
9710,42524831,5/25/2009 19:36,11/16/2009 18:39,83,65,1476,5,41,0
18740,90251709,11/15/2009 15:26,11/16/2009 18:41,0,0,45,14,25,0
3237,18595425,1/3/2009 22:28,11/16/2009 18:42,47,131,4796,7,26,0
15396,72168013,9/6/2009 20:06,11/16/2009 18:43,149,87,683,13,1,0
4841,22993262,3/5/2009 16:53,11/16/2009 18:43,86,46,601,12,0,0
7995,35021057,4/24/2009 14:56,11/16/2009 18:45,2267,4506,17458,12,45,0
6886,29965396,4/9/2009 6:33,11/16/2009 18:46,11,16,51,13,86,0
10440,45900695,6/9/2009 13:15,11/16/2009 18:48,115,41,1829,11,45,0
4995,23507601,3/9/2009 16:46,11/16/2009 18:48,407,454,2871,10,18,0
8297,36446883,4/29/2009 14:12,11/16/2009 18:49,50,15,12,11,0,0
13873,63818128,8/7/2009 15:25,11/16/2009 18:49,140,59,164,10,0,0
4360,21466596,2/20/2009 23:46,11/16/2009 18:50,117,69,715,7,29,0
9031,39745821,5/13/2009 8:07,11/16/2009 18:50,28,47,581,12,0,0
13948,64225126,8/9/2009 13:37,11/16/2009 18:53,31,377,2069,15,0,0
12002,53850144,7/5/2009 1:04,11/16/2009 18:53,27,77,2323,11,41,0
6306,27798087,3/30/2009 21:55,11/16/2009 18:58,29,38,455,8,23,0
9117,40118716,5/14/2009 18:36,11/16/2009 19:01,47,2,229,10,0,0
18484,89319523,11/11/2009 17:52,11/16/2009 19:01,10,3,10,6,0,0
14857,69112110,8/26/2009 17:11,11/16/2009 19:02,65,52,316,12,0,0
17977,86614010,10/31/2009 17:32,11/16/2009 19:05,276,258,421,11,27,0
