,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,BadUser
9425,18,72,1596,12,0,0
6518,229,179,1794,7,65,0
13013,42,62,616,6,0,0
16106,3,33,777,13,0,0
8184,65,70,1383,8,0,0
1762,78,93,402,7,0,0
12567,1114,624,4779,15,122,0
17592,130,90,2300,11,104,0
1018,340,421,3604,6,153,0
3089,703,1914,13427,12,158,0
1051,289,1725,5631,11,61,0
723,237,275,6987,14,95,0
1787,2001,1517,749,15,106,0
2714,184,137,4555,5,22,0
12948,381,143,11446,15,145,0
14568,36,44,285,12,69,0
1804,7504,6961,10552,13,121,0
18326,36,14,19,9,35,0
7442,54,27,209,9,128,0
17112,25,20,179,10,94,0
801,27,41,305,7,0,0
11089,16,19,199,11,0,0
17255,52,46,514,5,48,0
16836,1,11,15,9,0,0
17183,0,2,11,15,0,0
6159,120,22,17,10,42,0
13490,52,34,143,13,0,0
2381,1050,1303,9827,13,67,0
3700,23963,21889,41327,9,160,0
9518,75,89,1282,7,107,0
16804,72,13,65,10,0,0
14523,1616,790,8157,8,159,0
16977,51,52,205,9,64,0
2949,152,108,1450,11,0,0
15180,30,34,129,11,51,0
8846,234,329,4942,8,152,0
5472,218,433,7977,10,47,0
15203,136,69,11,11,29,0
6651,23,31,264,6,0,0
2672,2364,4989,2239,9,79,0
4286,462,495,5739,12,0,0
10137,71,265,8770,14,156,0
16266,0,1,22,7,0,0
7684,92,941,3723,15,78,0
1330,8,8,217,10,7,0
10968,135,191,4717,8,27,0
12860,17,27,1260,8,53,0
9643,106,83,453,10,0,0
13263,26,13,133,13,0,0
15059,24,37,127,10,39,0
2603,41,85,1392,8,0,0
3877,270,4868,4929,11,157,0
5163,161,197,3796,7,0,0
5763,287,50,11,15,96,0
14632,56,13,438,7,94,0
5630,42,79,2172,9,93,0
5857,40,60,199,9,0,0
4253,61,71,2367,14,27,0
7506,37,1239,2263,15,29,0
12968,283,215,1176,7,32,0
7071,164,151,800,6,68,0
12974,79,73,1198,12,0,0
15802,83,92,934,12,7,0
16629,1,41,5520,13,17,0
1779,68,187,1414,9,116,0
10508,197,74,487,12,0,0
1114,378,408,7778,7,51,0
11555,118,49,790,15,0,0
4996,275,62,500,14,100,0
2076,421,503,2910,6,35,0
4753,357,532,8950,8,45,0
15096,63,84,1764,9,10,0
4310,148,142,1272,14,40,0
823,115,201,4907,9,27,0
18444,85,30,148,12,47,0
5911,79,167,3553,13,48,0
4772,230,771,2292,11,160,0
12366,176,106,413,12,45,0
14214,205,364,7232,8,44,0
4356,211,286,8403,11,31,0
11043,193,101,838,11,40,0
9167,9,6,23,9,0,0
14611,180,70,386,14,0,0
7504,21,33,451,15,0,0
17936,0,10,394,14,32,0
15186,405,439,5335,14,84,0
11352,5,8,139,6,0,0
11838,32,75,417,9,95,0
6118,68,356,1071,14,134,0
18311,347,346,1583,10,53,0
9870,124,41,103,12,22,0
4503,222,296,6358,5,36,0
4956,60,24,819,15,57,0
9145,35,42,176,6,0,0
15425,54,55,608,12,58,0
2236,150,279,8088,11,157,0
15967,92,239,4907,12,105,0
3168,26,47,945,9,56,0
16361,180,160,2345,6,118,0
8773,735,937,4350,10,136,0
5983,809,848,13040,15,137,0
7793,56,146,1922,8,47,0
5210,81,167,2496,10,39,0
6427,30,2757,944,13,14,0
12622,26,22,427,9,28,0
10451,24,7,64,10,0,0
2235,254,532,9197,10,37,0
5381,221,143,2330,12,63,0
13311,262,78,531,12,33,0
3743,0,1,116,11,25,0
18106,90,51,1023,12,69,0
15657,3,2,83,12,37,0
17009,25,2,11,6,0,0
7068,49,157,7246,11,100,0
6557,622,575,23808,10,83,0
8604,27,69,6848,10,0,0
17578,52,13,149,8,73,0
10824,3018,2924,2620,8,159,0
13609,16,18,42,11,0,0
6735,63,84,508,7,31,0
4958,26,62,1624,8,0,0
3611,29,54,800,12,97,0
8784,290,53,513,15,146,0
11165,389,157,206,8,0,0
6455,763,770,6585,6,116,0
9125,36,20,50,13,107,0
15580,49,34,642,7,0,0
6642,15,12,59,9,0,0
9352,143,27,660,9,85,0
14293,7,10,1808,7,50,0
559,12,21,2948,3,0,0
308,485,271,1659,15,0,0
4143,17,7,20,12,0,0
18136,20,9,1021,15,0,0
12490,136,127,2059,7,26,0
10676,140,265,3703,11,4,0
2386,75,104,6055,9,26,0
10490,181,64,703,13,51,0
18138,581,124,234,9,86,0
12976,537,174,872,14,118,0
4122,126,146,3517,8,59,0
16080,100,190,4023,9,26,0
10238,75,96,1630,11,65,0
11737,54,71,1239,15,0,0
8672,47,31,1655,8,0,0
6239,173,381,8055,11,44,0
9592,61,182,8420,6,36,0
10333,3770,3705,5740,13,0,0
10722,436,81,47,8,17,0
18625,1,0,0,9,0,0
2683,137,79,789,8,85,0
17159,44,37,357,6,65,0
14643,29,25,122,9,0,0
16947,54,31,556,10,0,0
3317,1108,932,1213,14,137,0
3010,70,94,1092,15,13,0
8456,70,130,4530,12,85,0
16407,1,2,21,10,0,0
14590,41,68,566,11,107,0
12927,92,52,535,11,0,0
5347,170,66,1881,10,6,0
16467,206,146,917,9,71,0
16927,1,86,1942,9,0,0
4463,679,266,3687,8,28,0
6241,10,30,355,10,129,0
2688,95,84,1851,11,0,0
8916,248,287,12441,6,74,0
12749,159,95,1461,11,0,0
9997,425,320,4745,15,100,0
3804,289,229,4159,6,35,0
7620,756,485,1505,9,16,0
1920,871,811,10384,5,50,0
12688,66,136,8021,11,94,0
11248,150,112,752,11,75,0
982,539,874,56039,5,72,0
1179,128,130,735,6,25,0
9825,34,30,254,15,0,0
14514,10,12,55,6,0,0
17275,48,21,373,7,0,0
16069,39,36,227,14,23,0
1419,24,16,1597,10,121,0
11572,11,8,54,12,0,0
15048,34,9,29,9,112,0
1683,630,506,3188,14,102,0
1709,70,100,788,12,46,0
8910,158,139,3077,6,44,0
8815,166,89,659,14,132,0
17454,29,8,141,12,54,0
463,193,722,21189,8,21,0
14826,10,8,98,5,19,0
17787,6,6,34,8,47,0
13973,90,111,1054,12,82,0
9238,104,120,5112,8,98,0
17321,7,7,828,8,25,0
7224,123,75,952,4,54,0
13236,13,62,954,10,141,0
4385,700,409,8774,12,148,0
899,48,32,3362,9,56,0
12183,44,26,447,14,0,0
10636,123,204,3320,10,98,0
16890,23,8,56,11,26,0
4959,219,98,1377,9,17,0
5118,639,693,3825,15,47,0
9891,82,70,315,10,17,0
4779,118,415,6455,8,25,0
6128,94,50,1867,10,118,0
10565,401,422,2747,5,79,0
16049,1,0,34,6,0,0
17523,27,22,338,6,0,0
5029,87,79,646,9,0,0
11911,34,31,49,8,0,0
16902,20,4,64,7,36,0
15104,127,137,1401,6,16,0
15376,0,93,6612,12,52,0
11386,31,34,969,7,49,0
16493,28,24,271,9,13,0
14453,668,634,20680,6,99,0
11245,71,126,2006,12,39,0
7572,101,107,1932,12,43,0
18391,8,6,58,12,0,0
17910,4,12,383,11,28,0
15767,0,231,16354,11,34,0
8623,149,26,711,12,65,0
1125,378,563,14722,10,0,0
9533,477,353,4601,13,0,0
11687,88,75,1168,5,106,0
8037,678,880,4777,11,102,0
17005,5,4,2,12,0,0
165,299,539,11934,6,131,0
2241,176,122,5393,15,53,0
5811,1,1352,7307,5,148,0
2895,379,2048,4207,13,21,0
18616,7,17,145,8,19,0
13211,12,10,533,5,41,0
8400,18,21,362,9,45,0
16052,0,1,143,10,0,0
4544,139,1277,443,9,58,0
3890,83,151,3291,15,0,0
9733,7012,6952,4999,5,99,0
2013,15,19,14,6,0,0
1367,166,191,5884,6,54,0
8147,53,79,1031,14,78,0
13501,60,58,952,13,160,0
18079,4,6,141,8,16,0
17685,149,84,935,13,128,0
2361,115,226,4330,15,31,0
688,148,183,14362,10,6,0
16260,40,25,675,9,0,0
1214,139,269,145,8,28,0
7113,58,2124,13802,5,0,0
5221,12593,11837,5466,13,147,0
2083,163,55,901,10,16,0
7833,8080,7350,4309,13,113,0
424,111,121,2612,9,57,0
11360,209,209,4238,11,67,0
1423,206,680,1072,12,127,0
18215,36,20,47,10,0,0
7864,38,36,271,10,51,0
2039,42,63,1068,12,159,0
1213,480,520,2678,12,57,0
2898,99,121,1001,5,0,0
6998,59,54,2449,9,23,0
2400,155,1547,1060,11,11,0
17,242,722,16787,7,139,0
278,307,293,11106,5,16,0
15888,381,361,3321,6,66,0
18601,7,12,292,8,20,0
16251,801,683,7455,9,62,0
2976,350,292,2973,6,12,0
2752,190,90,5202,10,74,0
10531,200,322,3158,10,19,0
16928,56,139,798,8,0,0
8575,37,26,48,10,0,0
2515,299,4740,11585,15,156,0
639,265,786,8967,12,4,0
15290,105,146,2674,7,160,0
6556,32,56,1975,9,50,0
14183,63,75,1774,8,0,0
3906,72,134,1242,10,131,0
4572,10,32,1351,13,36,0
5558,143,71,135,7,157,0
17630,0,80,1849,10,20,0
2262,92,75,676,6,147,0
13593,110,106,2525,11,64,0
9386,23,44,351,6,25,0
931,17,19,2029,5,33,0
15215,20,290,26905,8,0,0
16337,133,47,287,6,64,0
2820,68,59,1049,10,25,0
12858,20,68,11365,9,0,0
16958,0,4,8,12,0,0
10588,147,81,1556,9,0,0
16574,13,4,65,12,0,0
3786,168,275,4011,7,115,0
673,843,551,1745,7,76,0
2808,127,72,578,11,0,0
9841,37,44,88,13,16,0
12900,454,412,16811,12,47,0
2701,154,151,2244,15,0,0
10533,252,242,6474,13,0,0
7025,89,149,984,10,24,0
8278,74,22,98,13,40,0
10990,122,109,1468,4,79,0
1767,70,117,46,7,0,0
8832,76,125,1421,14,133,0
6679,857,387,1567,15,154,0
17575,204,98,80,10,72,0
11512,84,170,3283,8,44,0
15728,57,58,367,15,0,0
830,121,235,1924,9,56,0
4102,70,91,5572,7,112,0
14022,23,24,449,11,0,0
15179,0,108,866,13,109,0
15135,60,13,187,10,0,0
5156,23,28,44,4,0,0
5740,524,364,4024,8,7,0
17928,53,53,199,12,0,0
2660,154,149,686,13,157,0
15914,397,314,805,15,127,0
10282,29,20,362,13,59,0
5091,226,131,20,12,94,0
7128,26,277,7172,7,85,0
4862,1823,1477,1687,11,98,0
9981,255,351,2621,11,0,0
18632,3,0,1,8,0,0
17046,63,78,1184,7,41,0
17728,5,4,24,14,0,0
15968,84,84,3388,6,148,0
10503,111,140,2616,7,0,0
5957,0,959,6092,11,158,0
11895,0,388,11552,10,46,0
9542,1567,1542,2371,15,112,0
6694,181,362,9312,9,84,0
1081,22,583,104505,13,0,0
1494,62,134,2060,11,35,0
10976,50,29,102,14,0,0
12847,533,796,4745,14,97,0
7768,86,94,77,11,0,0
16422,58,58,994,7,0,0
4134,3,2608,499,15,45,0
251,379,283,4694,7,39,0
6310,582,900,29704,13,128,0
13741,61,24,82,9,0,0
3546,128,48,89,9,0,0
9339,52,8,98,10,0,0
2996,13,5,17,10,0,0
8617,33,33,106,14,131,0
423,206,125,1874,5,65,0
13904,11,17,903,9,109,0
9687,77,188,6972,12,104,0
3389,50,114,2107,14,56,0
7624,80,168,2977,13,28,0
174,3776,5710,7385,4,91,0
18631,1,1,1,5,0,0
8148,2181,2014,5407,15,88,0
2643,205,258,5533,7,23,0
142,204,8338,3348,9,75,0
2636,111,164,9799,9,61,0
13682,9,44,785,8,0,0
13735,119,22,224,10,12,0
6067,1022,629,5943,8,142,0
6795,505,186,200,9,27,0
11384,28,44,546,9,130,0
4953,109,103,115,6,159,0
16097,103,97,833,8,0,0
11602,45,58,1627,10,16,0
1350,154,174,3826,9,55,0
13426,3,278,14249,6,50,0
13054,27,27,1214,9,38,0
17504,0,1,17,11,42,0
363,77,77,295,10,117,0
18088,5,3,28,9,34,0
9251,117,17848,676,14,98,0
6798,1120,1237,16050,10,88,0
7814,43,35,502,8,56,0
3732,102,56,3041,5,92,0
8130,53,32,277,7,35,0
3448,172,173,2604,9,45,0
18461,25,3,4,13,0,0
15024,1915,1799,2514,7,36,0
9203,93,154,3276,9,34,0
10162,88,64,701,7,4,0
17063,228,108,161,12,134,0
6741,194,200,4141,13,37,0
10689,71,75,2026,14,34,0
8154,116,386,3520,9,0,0
9422,230,85,512,7,124,0
2651,38,88,642,9,42,0
3295,55,123,5001,10,66,0
7902,55,80,1320,7,0,0
16000,56,42,1733,4,64,0
8824,20,10,29,11,0,0
3142,43,40,892,12,41,0
16217,156,164,1640,8,55,0
7156,17,45,2867,7,43,0
3680,500,611,1894,15,119,0
5834,6,18,230,15,0,0
14746,144,164,708,6,58,0
8464,81,170,1684,10,59,0
18637,20,1,1,7,0,0
10549,65,94,1101,10,23,0
3640,33,631329,1119,12,0,0
11727,470,605,7004,7,77,0
15152,82,103,565,6,0,0
13633,183,194,1949,12,156,0
13154,38,39,501,11,0,0
8563,19,31,233,12,21,0
14834,182,181,6218,8,33,0
8766,24,14,382,11,20,0
15927,18,10,35,5,36,0
4856,82,97,2251,7,54,0
11718,19,17,93,6,23,0
8226,3801,3961,7631,14,0,0
1206,89,226,4258,11,29,0
13886,3,293,6308,13,0,0
1704,85,46,547,11,21,0
2136,202,332,11500,5,104,0
7018,4,40,2889,9,23,0
147,506,1041,5421,7,42,0
10081,28,24,47,13,0,0
1057,0,185,12884,9,0,0
17465,8,8,12,9,47,0
14119,114,43,157,12,141,0
8757,0,75,1194,9,0,0
12731,94,66,1265,11,9,0
17304,5,1,36,8,0,0
14277,74,166,2311,9,0,0
11294,59,54,1313,15,89,0
12957,41,12,63,9,0,0
18548,9,27,89,15,0,0
17468,18,8,3,14,0,0
850,96,141,4446,11,63,0
15428,63,74,2380,9,62,0
536,12,96,69,7,151,0
18379,25,2,2,7,0,0
13679,27,29,1089,7,29,0
13,189,1665,3180,9,20,0
11270,32,21,96,13,59,0
7197,47,59,185,9,0,0
15979,0,27,105,6,81,0
18527,16,4,6,11,0,0
2585,180,176,11904,9,77,0
11111,97,44,1586,12,18,0
5546,112,59,390,6,0,0
12530,140,138,1140,14,108,0
13316,18,15,121,10,0,0
15563,387,347,1725,12,60,0
12381,38,13,88,10,0,0
6461,269,111,228,15,0,0
4507,642,611,21426,8,142,0
14551,60,33,52,9,56,0
10231,17,48,994,11,20,0
8639,2001,1738,4544,5,66,0
5212,212,574,4941,12,59,0
10112,10,10,175,5,0,0
16519,0,1,601,6,0,0
16572,396,212,2673,12,42,0
3996,98,202,2846,9,22,0
10246,19,20,158,9,71,0
8540,117,333,4193,9,66,0
15537,2,2,126,5,90,0
6410,162,145,539,9,31,0
671,933,1351,15280,4,66,0
8717,7,34,458,14,0,0
3604,76,96,9657,6,42,0
5142,50,41,574,4,160,0
816,28,57,850,8,39,0
1254,791,700,12768,7,30,0
12487,10,525,20653,6,54,0
10000,1100,242,3,11,98,0
5975,115,208,3335,8,36,0
13718,699,341,725,13,0,0
6915,63,71,97,15,30,0
10366,134,49,552,14,13,0
14654,18,18,111,13,0,0
11621,148,201,4747,11,129,0
3706,66,309,730,7,147,0
766,11,6,121,8,0,0
14271,214,142,2280,8,86,0
6551,180,178,14791,6,28,0
16432,8,170,6219,10,45,0
5651,92,31,828,9,0,0
11765,93,95,1215,8,18,0
9658,11,39,6965,6,5,0
12489,110,58,528,13,0,0
15483,32,32,279,10,0,0
3105,245,455,9251,8,154,0
6809,23,21,185,9,105,0
14569,54,65,5394,11,123,0
415,1232,2494,20235,11,105,0
15707,575,44,47,11,38,0
6503,25,46,1313,6,0,0
17429,0,1,46,12,27,0
7374,27,46,3,10,0,0
11655,47,76,791,15,129,0
11116,1111,621,826,9,86,0
15134,89,65,696,7,70,0
10526,91,99,1889,12,30,0
11893,30,18,147,6,64,0
11482,20,8,86,10,0,0
14302,456,204,715,11,156,0
16853,162,140,167,11,140,0
2471,109,82,316,8,29,0
5865,208,80,491,10,53,0
18572,21,3,4,12,0,0
9966,4785,5284,15371,15,45,0
2138,135,86,212,15,67,0
2317,146,63,269,10,50,0
15577,22,26,305,14,0,0
12180,121,134,2189,9,0,0
9875,214,601,1943,14,134,0
13668,2,1,8,13,0,0
14162,118,53,552,13,89,0
4568,184,123,1028,15,147,0
18566,2,1,6,12,0,0
13958,113,111,311,14,0,0
13697,907,846,4270,6,128,0
14029,51,15,876,10,0,0
3656,173,2954,1981,13,0,0
11417,0,12,9,6,0,0
6563,26,16,85,8,23,0
7812,219,141,2230,7,59,0
10776,85,89,714,7,123,0
15056,30,175,1332,6,0,0
15198,3,3,306,12,48,0
12034,19,4,20,9,0,0
6531,77,57,300,13,44,0
12036,31,29,230,11,0,0
18645,20,1,2,6,0,0
666,89,203,5319,8,0,0
16178,4,3,123,12,0,0
6528,326,197,3045,7,124,0
18361,21,4,6,6,0,0
12368,252,128,1070,11,0,0
15020,40,23,167,11,15,0
663,223,474,11928,7,109,0
14809,113,132,475,14,0,0
11118,409,157,1690,12,68,0
10703,99,115,9738,11,18,0
12023,83,58,1005,12,0,0
629,217,185,6693,6,39,0
1443,113,274,722,5,31,0
8133,45,21,511,15,37,0
18646,1,1,2,10,0,0
17369,16,31,949,10,38,0
101,1233,1507,13900,10,34,0
3000,20,213,3948,11,0,0
8704,115,103,3776,11,18,0
18592,14,3,6,9,0,0
6086,40,29,75,12,15,0
12520,616,275,1175,9,0,0
10163,1118,1190,18352,13,155,0
8263,36,340,5676,15,77,0
18607,37,6,10,13,0,0
12857,64,71,4143,6,102,0
15097,334,126,1132,11,23,0
13584,148,137,707,9,93,0
16020,21,18,110,8,44,0
11724,287,130,377,9,0,0
10739,30,11,108,6,160,0
11815,194,192,90,12,0,0
3687,90,44,228,10,72,0
7022,456,492,20298,8,160,0
14467,183,189,2446,7,0,0
16916,132,193,2328,8,56,0
4287,18,29,395,10,12,0
768,485,633,4873,6,41,0
16286,126,39,21,12,0,0
17693,1,1,6,7,0,0
2838,84,96,2298,11,41,0
11319,169,225,1929,10,0,0
17854,80,56,90,11,35,0
2858,29,41,520,10,0,0
13754,93,39,447,14,40,0
3512,136,28,592,9,42,0
16048,3727,3411,1072,12,135,0
10975,144,100,1485,8,90,0
13103,48,39,610,9,0,0
12707,87,53,109,12,42,0
6990,114,158,3050,13,86,0
9943,162,488,547,11,40,0
16259,42,73,222,10,12,0
17302,0,2,319,6,0,0
13801,163,113,2329,9,158,0
16312,16,16,2308,13,0,0
17883,368,365,2965,10,64,0
18644,21,0,3,8,0,0
9362,73,80,1911,6,127,0
6553,289,302,3431,14,73,0
13747,339,153,406,7,0,0
12560,48,13,14,9,101,0
17439,28,9,17,14,45,0
10756,68,57,1188,10,11,0
9006,63,83,3084,10,154,0
18116,50,10,39,9,0,0
12882,124,114,4688,9,159,0
18405,27,22,133,8,36,0
358,19,41,34,5,0,0
4466,113,122,1771,10,28,0
18175,10,13,705,8,47,0
487,529,564,6095,7,49,0
17270,8,15,144,11,0,0
3637,0,139,12158,11,0,0
10896,351,336,1937,8,0,0
8280,77,109,3871,7,118,0
336,163,222,15105,7,83,0
13190,103,125,2579,6,105,0
18649,2,0,1,10,0,0
10110,0,110,5652,10,81,0
15244,23,18,451,14,0,0
18173,18,7,81,9,0,0
10563,201,84,87,6,0,0
9023,211,63,178,6,48,0
2984,32,516,2741,12,0,0
10561,97,81,81,10,0,0
9066,125,380,10856,11,93,0
14636,49,52,725,9,66,0
8607,376,484,1133,15,143,0
5544,71,41,360,8,38,0
3480,246,165,1984,8,53,0
13061,158,58,362,8,76,0
7204,139,190,6020,6,27,0
12473,80,111,4458,12,0,0
18156,0,1,253,7,0,0
18576,12,3,4,14,44,0
5348,94,734,17481,11,0,0
18362,80,22,48,7,0,0
2812,20,24,153,10,0,0
14433,57,84,569,9,66,0
4226,857,380,551,11,61,0
9377,61,100,1343,10,57,0
18605,2,1,1,9,0,0
5349,17,11,75,13,0,0
12991,46,46,1257,10,0,0
13087,42,33,311,10,0,0
4474,208,138,2214,10,0,0
5615,617,819,2388,11,0,0
12527,113,37,310,11,24,0
13267,40,487,209,15,29,0
18516,7,4,21,8,0,0
15108,0,1130,50604,6,0,0
17245,45,36,90,12,0,0
5659,82,105,498,7,77,0
1717,79,93,1990,10,0,0
13458,53,40,232,15,0,0
11582,55,31,99,8,30,0
13916,86,811,326,13,107,0
4799,279,350,1750,12,60,0
6765,379,524,8827,15,160,0
17124,15,4,32,8,0,0
4288,288,1752,1643,10,92,0
8005,121,86,1479,11,43,0
16899,245,109,22,8,0,0
1638,231,200,628,8,97,0
17651,16,3,12,6,0,0
5493,213,223,575,12,27,0
353,24,72,7497,8,159,0
13385,718,346,2970,11,0,0
8884,37,211,7434,7,29,0
10078,93,95,844,15,0,0
3062,22,190,568,12,27,0
3827,251,155,1026,6,101,0
7956,34,34,1156,8,9,0
7647,1229,2869,7548,12,143,0
8393,75,81,513,12,145,0
4680,800,3805,36943,9,156,0
17924,115,86,1621,8,85,0
2457,939,1343,2269,7,141,0
8028,112,65,1507,12,38,0
10757,140,73,1562,10,0,0
13613,47,23,46,15,0,0
17716,72,33,712,8,41,0
4101,9891,9887,5622,11,133,0
10421,21,13,730,9,21,0
10208,25,71,1427,15,16,0
14631,389,271,6624,11,97,0
7627,364,259,4918,11,66,0
5532,247,420,9963,10,158,0
6053,38,88,165,12,23,0
9421,278,147,1569,12,129,0
10477,175,73,1277,9,15,0
7834,50,37,302,12,50,0
15246,60,12,102,15,45,0
14961,21,244,4269,12,14,0
12400,53,157,2026,9,0,0
5619,146,115,689,14,99,0
8275,109,84,2575,15,0,0
14608,97,84,634,13,20,0
4679,321,870,1404,8,5,0
3965,688,512,7375,12,128,0
12409,86,2531,1933,8,41,0
5713,766,132,655,14,159,0
3872,469,242,4612,8,0,0
5979,73,274,3237,10,77,0
17747,2,1,72,7,0,0
4554,31,44,684,8,0,0
8655,4,12,17,9,0,0
13994,138,159,1443,9,0,0
13649,83,153,1051,14,101,0
8698,142,701,15900,8,121,0
13651,85,7,78,15,0,0
5903,171,54,198,10,0,0
15820,33,23,7,10,0,0
2348,713,717,445,11,102,0
4091,119,103,128,13,139,0
16864,35,40,569,9,11,0
14575,110,86,246,11,0,0
12750,213,3171,2150,12,125,0
8229,87,77,3419,13,91,0
15367,20,16,306,9,50,0
4876,215,97,1953,8,50,0
3677,187,272,635,9,128,0
9696,630,655,4205,9,0,0
4873,32,15,199,8,0,0
4262,94,21,100,10,0,0
5855,150,635,2178,14,113,0
16537,32,9,107,8,46,0
2463,85,118,952,11,28,0
16852,360,433,6469,15,120,0
16552,1490,1052,3046,10,99,0
13055,215,264,4159,9,14,0
3931,21,158,323,10,0,0
3772,445,555,7431,12,126,0
2385,236,302,8280,10,74,0
15147,6,15,284,12,34,0
18147,35,34,515,10,62,0
119,153,859,962,7,20,0
4670,48,131,825,8,74,0
18065,91,79,934,13,63,0
3201,289,169,1234,12,18,0
8208,419,123,633,11,36,0
17360,41,14,335,10,146,0
18544,7,3,68,9,39,0
7734,117,141,5913,8,51,0
6683,0,9,388,13,0,0
4917,263,277,3468,11,71,0
9939,115,82,258,10,0,0
7336,176,67,225,12,0,0
14321,2,190,14565,9,21,0
4722,292,211,1015,10,160,0
11758,10,7,25,15,0,0
7921,108,158,3293,11,107,0
5220,35,31,50,8,0,0
1918,1915,1421,1138,9,116,0
6922,53,40,309,8,23,0
6158,11,14,59,9,61,0
9537,35,15,151,8,113,0
344,82,138,4746,7,0,0
18169,79,19,57,15,117,0
16772,21,11,161,13,81,0
10763,98,66,513,13,22,0
18702,40,0,5,7,0,0
1680,44,108,3435,12,87,0
7103,385,127,2685,9,91,0
4052,17,34,654,8,6,0
17989,71,4,72,13,27,0
3085,183,11401,1183,15,152,0
8972,250,685,516,13,43,0
11140,183,176,4503,5,36,0
12038,3793,4162,2625,13,0,0
13774,442,1306,9064,13,59,0
15500,42,92,2756,11,12,0
3974,104,31,615,14,35,0
2293,46,19,860,12,38,0
7964,8,11,283,8,14,0
7105,179,72,441,8,55,0
12173,690,361,5475,14,65,0
7897,147,289,2124,15,64,0
9094,948,2023,2507,9,125,0
8694,2,0,9,15,0,0
13294,215,101,65,9,28,0
12330,44,18,430,15,13,0
10953,3,5,24,15,0,0
4836,158,200,8130,11,69,0
3747,108,283,1666,9,120,0
12014,40,45,230,9,30,0
3341,485,543,13520,8,105,0
15076,51,46,727,7,40,0
5726,84,137,1820,10,22,0
1038,78,112,1922,7,72,0
11034,68,301,3489,13,15,0
5691,1050,155,3011,4,49,0
8571,26,55,1180,12,43,0
3124,1056,768,897,13,61,0
9979,181,121,877,8,10,0
9974,136,122,1609,9,99,0
10839,113,56,80,9,0,0
3768,5,10,934,6,56,0
8018,3,11,18,7,0,0
7347,242,1104,14356,15,149,0
10510,9,16,132,8,62,0
12783,241,133,578,9,36,0
5012,34,41,49,10,25,0
10475,67,56,779,11,53,0
17042,32,66,650,11,42,0
9194,432,410,2531,12,50,0
15760,180,200,739,6,0,0
13659,104,104,487,10,0,0
12940,337,221,6787,10,155,0
8327,134,61,826,11,0,0
771,1,7098,16644,5,31,0
2438,7,11,9422,9,8,0
15232,144,68,181,7,0,0
37,165,396,5245,13,28,0
9649,143,128,1698,12,0,0
5849,159,1571,1689,11,29,0
1251,347,368,3567,5,24,0
13188,53,23,178,11,0,0
7652,59,67,227,10,129,0
17388,59,98,173,12,0,0
17931,26,12,298,10,52,0
17220,33,43,471,12,47,0
10799,82,54,1929,11,32,0
9489,145,185,3363,9,98,0
10864,35,38,240,15,0,0
13056,36,4,18,13,0,0
13197,61,44,453,9,35,0
4968,50,366,538,8,0,0
9492,13,22,2021,12,36,0
14901,101,118,352,9,0,0
12585,3,4,58,13,84,0
17293,48,22,322,9,0,0
13864,158,94,863,6,0,0
1127,19,30,138,10,0,0
8716,133,196,1050,14,121,0
11568,823,323,47,13,0,0
11677,134,106,1145,8,0,0
10198,62,38,334,8,0,0
11124,96,86,1274,11,84,0
4727,2423,2202,1450,9,146,0
14742,175,16,102,14,0,0
7036,2040,1923,1003,14,93,0
18478,89,28,256,13,0,0
2843,91,514,12588,5,0,0
16751,23,13,167,8,0,0
8656,882,1336,13490,9,97,0
650,277,299,3505,6,44,0
13364,188,217,6738,10,144,0
3167,1792,1765,13834,10,96,0
12965,84,98,2130,6,126,0
7209,112,135,2628,14,100,0
11190,389,325,4377,7,17,0
2264,2327,2331,1929,13,30,0
14358,631,141,264,13,26,0
18426,683,274,208,9,69,0
8307,268,198,739,8,35,0
14210,57,24,464,11,46,0
5245,30,33,661,14,42,0
9556,56,29,159,10,81,0
12501,108,716,5598,15,90,0
3455,5,29,1101,11,0,0
9228,305,258,4949,9,65,0
8224,23,25,51,12,0,0
5935,24,29,315,10,54,0
6813,109,107,894,15,74,0
13117,0,61,64,15,97,0
9954,1997,1472,2381,15,157,0
12753,127,134,3056,10,120,0
12581,44,19,150,12,17,0
2038,19,11,372,11,20,0
6927,28,26,57,7,131,0
9153,142,170,1765,6,21,0
77,61,101,1475,6,41,0
9102,397,278,6256,14,0,0
561,168,252,2454,4,74,0
17036,129,38,256,13,0,0
14484,9,14,14,14,32,0
18724,23,1,1,11,0,0
11474,192,549,887,13,0,0
17050,27,20,723,7,68,0
15185,542,317,3820,15,77,0
8308,18,327,460,10,6,0
1910,173,900,1954,12,96,0
7188,385,384,18165,13,159,0
542,99,955,9716,13,33,0
9640,1982,2103,1688,7,135,0
11464,17,16,107,15,0,0
17749,2,24,1046,15,0,0
215,1916,1279,846,13,118,0
15442,1,1,7,9,0,0
10828,42,818,1128,9,0,0
18717,1,0,3,15,0,0
16040,269,311,8892,10,160,0
2170,313,427,2383,14,62,0
12727,28,62,1619,10,45,0
17456,21,4,15,11,0,0
10407,121,24,390,8,0,0
9927,173,86,516,4,0,0
8183,21,22,378,6,0,0
16897,160,21,131,11,0,0
13716,1373,861,1091,9,0,0
2811,55,105,1922,9,11,0
10435,94,53,1143,15,0,0
5038,67,46,850,9,0,0
17339,30,4,15,7,0,0
